slug;роль;ключевое слово;частота;направление;комментарий
01-google-sheets-150k;основная;аналог гугл таблиц;125;BPM и автоматизация бизнес-процессов;"Точное совпадение с темой, единственная фраза про Google-таблицы с трёхзначной частотой; смешанный интент (человек ищет чем заменить) — для базы знаний годится"
01-google-sheets-150k;дополнительная;гугл таблицы аналог;125;Преодоление технических лимитов и масштабирование;Та же фраза в другом порядке слов — использовать как вариант формулировки в теле
01-google-sheets-150k;дополнительная;работа с большими базами данных таблицы;65;Внутренние учетные системы для бизнеса;"Информационный; закрывает вторую половину темы — объём данных"
01-google-sheets-150k;дополнительная;замена гугл таблицам;38;BPM и автоматизация бизнес-процессов;Коммерческий интент, годится в FAQ
01-google-sheets-150k;дополнительная;альтернатива гугл таблицам;37;Преодоление технических лимитов и масштабирование;"Коммерческий; синоним основной"
01-google-sheets-150k;дополнительная;чем заменить гугл таблицы;33;Преодоление технических лимитов и масштабирование;Вопросная форма — прямо в FAQ
01-google-sheets-150k;дополнительная;аналог гугл таблиц в яндекс;19;BPM и автоматизация бизнес-процессов;Узкий хвост, только если зайдёт естественно
01-google-sheets-150k;дополнительная;чем заменить гугл таблицы в россии;14;Преодоление технических лимитов и масштабирование;Хвост с гео-уточнением, уместен в блоке про размещение данных
01-google-sheets-150k;дополнительная;российский аналог гугл таблиц;13;BPM и автоматизация бизнес-процессов;"Хвост; не путать с занятым «российский аналог airtable»"
01-google-sheets-150k;дополнительная;аналоги google sheets;9;Преодоление технических лимитов и масштабирование;Латиница — нужна, потому что часть аудитории пишет название латиницей
01-google-sheets-150k;дополнительная;аналог гугл таблиц для совместной работы;3;BPM и автоматизация бизнес-процессов;Микрочастота, но ровно про сценарий статьи (несколько ролей)
01-google-sheets-150k;дополнительная;ограничения одновременного доступа к таблице;0;Преодоление технических лимитов и масштабирование;Частота 0 — брать только как формулировку подзаголовка, не как цель
02-excel-row-limit;основная;замена экселя;502;Преодоление технических лимитов и масштабирование;"Крупнейшая свободная Excel-фраза ядра; «замена excel» (0) и «вместо excel» (518) заняты продуктовыми страницами, а «замена экселя» — нет. Коммерческий интент, но заголовок «…замена Экселя, когда упёрлись в лимит строк» звучит по-русски нормально"
02-excel-row-limit;дополнительная;эксель аналог;251;Преодоление технических лимитов и масштабирование;"Вторая по величине свободная Excel-фраза; коммерческий интент"
02-excel-row-limit;дополнительная;аналог экселя;251;Преодоление технических лимитов и масштабирование;Словоформа предыдущей, использовать как вариант в теле
02-excel-row-limit;дополнительная;чем заменить excel;54;BPM и автоматизация бизнес-процессов;ОСТОРОЖНО: назначена в FAQ главной страницы стратегией 05.08. Брать только если на главной так и не внедрили
02-excel-row-limit;дополнительная;чем заменить эксель на компьютере;25;Преодоление технических лимитов и масштабирование;Подпапка «Замена Excel», вопросная форма — в FAQ
02-excel-row-limit;дополнительная;максимальный объем данных в таблице;24;Преодоление технических лимитов и масштабирование;"Информационный, ровно про лимит; «максимальный размер таблицы» (46) занят главной"
02-excel-row-limit;дополнительная;как обойти ограничения таблиц;11;Преодоление технических лимитов и масштабирование;Информационный, идеален для H2 про обход лимита
02-excel-row-limit;дополнительная;программы похожие на excel;11;Преодоление технических лимитов и масштабирование;Коммерческий хвост
02-excel-row-limit;дополнительная;архитектура больших таблиц;6;Преодоление технических лимитов и масштабирование;Информационный, подходит блоку про нормализацию
02-excel-row-limit;дополнительная;миграция больших таблиц;4;Преодоление технических лимитов и масштабирование;Хвост про перенос данных
02-excel-row-limit;дополнительная;вертикальное и горизонтальное масштабирование таблиц;1;Преодоление технических лимитов и масштабирование;Микрочастота, годится как формулировка подзаголовка
02-excel-row-limit;дополнительная;ограничения реляционных баз данных;12;Преодоление технических лимитов и масштабирование;Для честного блока ограничений: у СУБД лимиты тоже есть
03-excel-file-versions;основная;база данных для ведения реестров;196;BPM и автоматизация бизнес-процессов;"Ровно предмет статьи — один реестр вместо разосланных копий; коммерческий интент, но фраза вписывается в H1 без уродства («…база данных для ведения реестров вместо рассылки файлов»)"
03-excel-file-versions;дополнительная;целостность информации и информационных систем;221;Информационные системы и цифровая трансформация;"Информационный; тема «копии расходятся» = потеря целостности. Не отдавать статье 11 — там речь про целостность при ИИ-правках"
03-excel-file-versions;дополнительная;система учета и хранения данных;316;Автоматизация рутинных операций и отчетов;Информационно-коммерческий, широкий зонтик темы
03-excel-file-versions;дополнительная;автоматизация совместной работы;88;BPM и автоматизация бизнес-процессов;Прямо про «несколько ролей в одном файле»
03-excel-file-versions;дополнительная;база ведение договоров;87;BPM и автоматизация бизнес-процессов;Реестр договоров — сквозной пример статьи
03-excel-file-versions;дополнительная;автоматизация учета договоров;96;BPM и автоматизация бизнес-процессов;"Коммерческий; тот же пример"
03-excel-file-versions;дополнительная;базы данных ведения журналов;51;BPM и автоматизация бизнес-процессов;Про историю изменений
03-excel-file-versions;дополнительная;автоматизация версионности документов;21;BPM и автоматизация бизнес-процессов;Точно про «десятки версий файла»
03-excel-file-versions;дополнительная;обеспечение целостности информационной системы и информации;74;Информационные системы и цифровая трансформация;Длинный вариант основной темы, годится в подзаголовок
03-excel-file-versions;дополнительная;максимальная история изменений таблицы;0;Преодоление технических лимитов и масштабирование;Частота 0 — формулировка, не цель
03-excel-file-versions;дополнительная;версионность данных;0;Процессный подход к управлению;"Частота 0; в ядре версионирования как спроса нет"
04-related-tables;основная;вместо впр excel;53;Преодоление технических лимитов и масштабирование;"Самая частотная ВПР-фраза ядра и точное попадание в тему; информационный интент (человек ищет способ). В заголовок ложится: «Связанные таблицы вместо ВПР в Excel»"
04-related-tables;дополнительная;excel поискпоз вместо впр;39;Преодоление технических лимитов и масштабирование;"Информационный; ИНДЕКС+ПОИСКПОЗ уже упомянут в summary статьи"
04-related-tables;дополнительная;индекс поискпоз excel вместо впр;38;Преодоление технических лимитов и масштабирование;Расширенная форма предыдущей
04-related-tables;дополнительная;аналог впр в excel;26;Преодоление технических лимитов и масштабирование;Информационный синоним основной
04-related-tables;дополнительная;индекс вместо впр в excel;9;Преодоление технических лимитов и масштабирование;Хвост
04-related-tables;дополнительная;аналог функции впр в excel;8;Преодоление технических лимитов и масштабирование;Хвост
04-related-tables;дополнительная;аналог впр в эксель;8;BPM и автоматизация бизнес-процессов;Кириллическое написание — отдельный запрос, стоит закрыть
