Ключевое слово;Частота Yandex;На странице?;Направление;Подпапка
учет оплаты клиентов;245;нет;BPM и автоматизация бизнес-процессов;
информационные системы и технологии стоимость обучения;205;нет;Информационные системы и цифровая трансформация;
анализ стоимости бизнес процессов;106;нет;Процессный подход к управлению;
объекты оценки стоимости бизнеса;89;нет;Корпоративная аналитика и Big Data;
процесс управления стоимостью бизнеса;87;нет;Процессный подход к управлению;
стоимость бизнес процесса это;79;нет;Процессный подход к управлению;
crm система стоимость;75;нет;BPM и автоматизация бизнес-процессов;
стоимостный анализ бизнес процесса;50;нет;Процессный подход к управлению;
функционально стоимостного анализа бизнес процессов;42;нет;Процессный подход к управлению;
анализ больших данных цена;29;нет;Внутренние учетные системы для бизнеса;
автоматизация склада стоимость;26;нет;BPM и автоматизация бизнес-процессов;
автоматизация бизнес процессов стоимость;25;нет;BPM и автоматизация бизнес-процессов;Автоматизация операций
информационная система и стоимость владения;23;нет;Информационные системы и цифровая трансформация;Определения
оценка рыночной стоимости объекта бизнеса;23;нет;Корпоративная аналитика и Big Data;
автоматизация контроля оплат;21;нет;BPM и автоматизация бизнес-процессов;
стоимость оптимизации бизнес процессов;19;нет;Процессный подход к управлению;
стоимость обработки больших данных;15;нет;Внутренние учетные системы для бизнеса;
стоимость хранения больших объемов данных;15;нет;Внутренние учетные системы для бизнеса;
автоматизация онлайн-оплаты;14;нет;BPM и автоматизация бизнес-процессов;
информационная система и сценарии использования;14;нет;Информационные системы и цифровая трансформация;
аналитика больших данных стоимость;13;нет;Внутренние учетные системы для бизнеса;
цена увеличения объема таблицы;11;нет;Преодоление технических лимитов и масштабирование;Аналоги таблиц
информационная система и оплата по использованию;8;нет;Информационные системы и цифровая трансформация;
это процесс определения стоимости бизнеса;8;нет;Процессный подход к управлению;
автоматизация бизнес процессов цена;5;нет;BPM и автоматизация бизнес-процессов;Автоматизация операций
стоимость crm системы для малого бизнеса;5;нет;BPM и автоматизация бизнес-процессов;
автоматизация сценарного моделирования;2;нет;BPM и автоматизация бизнес-процессов;
стоимость внедрения bpm;2;нет;BPM и автоматизация бизнес-процессов;
цена оптимизации баз данных;1;нет;Преодоление технических лимитов и масштабирование;Нераспределённые
автоматизация подписки на отчеты;0;нет;BPM и автоматизация бизнес-процессов;
автоматическое напоминание об оплате счетов;0;нет;Автоматизация рутинных операций и отчетов;
конструктор автоматических бизнес-процессов и сценариев;0;нет;Автоматизация рутинных операций и отчетов;
отказ от бумажного документооборота в пользу цифровых сценариев;0;нет;Автоматизация рутинных операций и отчетов;
стоимость инфраструктуры Big Data;0;нет;Внутренние учетные системы для бизнеса;
стоимость обработки терабайтов данных;0;нет;Внутренние учетные системы для бизнеса;
цена внедрения Big Data платформы;0;нет;Внутренние учетные системы для бизнеса;
цена внедрения big data решения;0;нет;Внутренние учетные системы для бизнеса;
цена платформы для обработки больших данных;0;нет;Внутренние учетные системы для бизнеса;
информационная система и влияние на стоимость компании;0;нет;Информационные системы и цифровая трансформация;
информационная система и сценарное моделирование;0;нет;Информационные системы и цифровая трансформация;
информационная система и типовые сценарии;0;нет;Информационные системы и цифровая трансформация;
стоимость внедрения big data;0;нет;Корпоративная аналитика и Big Data;
стоимость миграции больших данных;0;нет;Преодоление технических лимитов и масштабирование;
стоимость перехода на большой объем данных;0;нет;Преодоление технических лимитов и масштабирование;
стоимость миграции;0;нет;Процессный подход к управлению;
стоимость отказа;0;нет;Процессный подход к управлению;
стоимость разработки;0;нет;Процессный подход к управлению;
стоимость создания;0;нет;Процессный подход к управлению;
цена конвертации;0;нет;Процессный подход к управлению;
цена миграции;0;нет;Процессный подход к управлению;
цена создания;0;нет;Процессный подход к управлению;
